record_id,entity_name,entity_id,entity_address,entity_city,entity_state,entity_zip,amount,secondary_amount,adjustment_amount,transaction_date,reporting_period,record_type,notes
REC-001,Acme Corporation,12-3456789,123 Main Street,New York,NY,10001,15000.00,500.00,-100.00,2024-01-15,2024-Q1,standard,Quarterly payment
REC-002,TechStart Inc,98-7654321,456 Oak Avenue,San Francisco,CA,94102,25000.50,0.00,0.00,2024-01-20,2024-Q1,standard,Initial contract
REC-003,Global Services LLC,55-1234567,789 Pine Road,Chicago,IL,60601,8750.25,1250.00,-50.00,2024-02-01,2024-Q1,standard,Service fee
REC-004,Midwest Manufacturing,33-9876543,321 Industrial Blvd,Detroit,MI,48201,42000.00,3500.00,0.00,2024-02-10,2024-Q1,standard,Equipment lease
REC-005,Southern Logistics,77-5555555,555 Harbor Drive,Miami,FL,33101,12500.00,0.00,-200.00,2024-02-28,2024-Q1,amended,Corrected amount
REC-006,Pacific Trading Co,44-3333333,888 Coastal Way,Seattle,WA,98101,31000.75,2000.00,0.00,2024-03-05,2024-Q1,standard,Import services
REC-007,Eastern Supplies,22-1111111,111 Commerce Street,Boston,MA,02101,9500.00,500.00,-75.00,2024-03-15,2024-Q1,standard,Office supplies
REC-008,Central Consulting,66-4444444,444 Business Park,Dallas,TX,75201,55000.00,5000.00,-500.00,2024-03-20,2024-Q1,standard,Consulting fees
REC-009,Mountain Industries,88-2222222,222 Highland Ave,Denver,CO,80201,18750.50,1500.00,0.00,2024-03-25,2024-Q1,standard,Raw materials
REC-010,Coastal Development,99-6666666,666 Beach Road,Los Angeles,CA,90001,67500.00,0.00,-1000.00,2024-03-31,2024-Q1,corrected,Project payment
