Rep,Timestamp (s),Position (m),Velocity (m/s),Acceleration (m/s²),Force (N),Power (W),Stroke Phase
1,0.000,0.000,0.00,0.00,0.0,0.0,Glide
1,0.050,0.002,0.08,1.60,48.0,3.8,Catch
1,0.100,0.008,0.24,3.20,96.0,23.0,Catch
1,0.150,0.022,0.56,6.40,192.0,107.5,Pull
1,0.200,0.048,0.96,8.00,240.0,230.4,Pull
1,0.250,0.086,1.44,9.60,288.0,414.7,Pull
1,0.300,0.140,1.76,6.40,192.0,337.9,Push
1,0.350,0.204,1.92,3.20,96.0,184.3,Push
1,0.400,0.272,1.84,−1.60,−48.0,−88.3,Recovery
1,0.450,0.336,1.60,−4.80,−144.0,−230.4,Recovery
1,0.500,0.392,1.28,−6.40,−192.0,−245.8,Recovery
1,0.550,0.436,0.96,−6.40,−192.0,−184.3,Glide
1,0.600,0.472,0.72,−4.80,−144.0,−103.7,Glide
2,0.650,0.500,0.64,−1.60,−48.0,−30.7,Glide
2,0.700,0.524,0.56,0.00,0.0,0.0,Catch
2,0.750,0.554,0.72,3.20,96.0,69.1,Catch
2,0.800,0.596,1.04,6.40,192.0,199.7,Pull
2,0.850,0.652,1.44,8.00,240.0,345.6,Pull
2,0.900,0.724,1.76,6.40,192.0,337.9,Pull
2,0.950,0.804,1.92,3.20,96.0,184.3,Push
2,1.000,0.888,1.88,−0.80,−24.0,−45.1,Push
2,1.050,0.968,1.68,−4.00,−120.0,−201.6,Recovery
2,1.100,1.040,1.36,−6.40,−192.0,−261.1,Recovery
2,1.150,1.100,1.04,−6.40,−192.0,−199.7,Recovery
2,1.200,1.148,0.80,−4.80,−144.0,−115.2,Glide
2,1.250,1.184,0.64,−3.20,−96.0,−61.4,Glide
3,1.300,1.212,0.56,0.00,0.0,0.0,Catch
3,1.350,1.242,0.72,3.20,96.0,69.1,Catch
3,1.400,1.284,1.04,6.40,192.0,199.7,Pull
3,1.450,1.340,1.44,8.00,240.0,345.6,Pull
3,1.500,1.412,1.80,7.20,216.0,388.8,Pull
3,1.550,1.496,1.96,3.20,96.0,188.2,Push
3,1.600,1.584,1.92,−0.80,−24.0,−46.1,Push
3,1.650,1.668,1.72,−4.00,−120.0,−206.4,Recovery
3,1.700,1.744,1.40,−6.40,−192.0,−268.8,Recovery
3,1.750,1.808,1.08,−6.40,−192.0,−207.4,Recovery
3,1.800,1.860,0.84,−4.80,−144.0,−120.96,Glide
3,1.850,1.900,0.68,−3.20,−96.0,−65.3,Glide
